Attention Value: 0.82 | Head Pose: Pitch -0.37, Yaw 10.49 | Eye Gaze: Pitch -7.88, Yaw 0.04 | Dominant Emotion: Neutral
Attention Value: 0.61 | Head Pose: Pitch -23.59, Yaw -15.41 | Eye Gaze: Pitch 9.6, Yaw -0.75 | Dominant Emotion: Other
Attention Value: 0.6 | Head Pose: Pitch 12.57, Yaw -20.48 | Eye Gaze: Pitch -5.95, Yaw 2.94 | Dominant Emotion: Other
Attention Value: 0.6 | Head Pose: Pitch -20.46, Yaw -10.05 | Eye Gaze: Pitch 6.95, Yaw 3.57 | Dominant Emotion: Other
Attention Value: 0.6 | Head Pose: Pitch -25.88, Yaw -22.98 | Eye Gaze: Pitch -3.47, Yaw -9.28 | Dominant Emotion: Sad
Attention Value: 0.6 | Head Pose: Pitch -28.51, Yaw 21.82 | Eye Gaze: Pitch 6.05, Yaw -2.84 | Dominant Emotion: Happy
Attention Value: 0.6 | Head Pose: Pitch -25.88, Yaw 19.55 | Eye Gaze: Pitch -0.17, Yaw 0.51 | Dominant Emotion: Happy
Attention Value: 0.6 | Head Pose: Pitch 26.33, Yaw 23.08 | Eye Gaze: Pitch -4.26, Yaw 2.3 | Dominant Emotion: Neutral
Attention Value: 0.6 | Head Pose: Pitch 16.76, Yaw -28.96 | Eye Gaze: Pitch -4.73, Yaw -9.96 | Dominant Emotion: Angry
Attention Value: 0.6 | Head Pose: Pitch 26.22, Yaw 17.08 | Eye Gaze: Pitch 2.62, Yaw 9.34 | Dominant Emotion: Happy
Attention Value: 0.6 | Head Pose: Pitch 10.44, Yaw 26.61 | Eye Gaze: Pitch -7.16, Yaw -5.3 | Dominant Emotion: Neutral
Attention Value: 0.6 | Head Pose: Pitch 13.18, Yaw -24.23 | Eye Gaze: Pitch -2.14, Yaw 2.93 | Dominant Emotion: Happy
Attention Value: 0.59 | Head Pose: Pitch -26.16, Yaw -13.6 | Eye Gaze: Pitch 4.74, Yaw 9.7 | Dominant Emotion: Other
Attention Value: 0.59 | Head Pose: Pitch 29.03, Yaw -5.67 | Eye Gaze: Pitch -2.58, Yaw -4.09 | Dominant Emotion: Sad
Attention Value: 0.59 | Head Pose: Pitch 27.12, Yaw 25.07 | Eye Gaze: Pitch 5.18, Yaw 2.13 | Dominant Emotion: Happy
Attention Value: 0.59 | Head Pose: Pitch -27.05, Yaw -19.09 | Eye Gaze: Pitch 9.58, Yaw 7.55 | Dominant Emotion: Other
Attention Value: 0.59 | Head Pose: Pitch 22.88, Yaw -21.6 | Eye Gaze: Pitch 7.1, Yaw -1.42 | Dominant Emotion: Angry
Attention Value: 0.59 | Head Pose: Pitch -20.03, Yaw 28.14 | Eye Gaze: Pitch -1.91, Yaw 8.56 | Dominant Emotion: Other
Attention Value: 0.59 | Head Pose: Pitch -24.84, Yaw -14.82 | Eye Gaze: Pitch 7.57, Yaw -2.14 | Dominant Emotion: Neutral
Attention Value: 0.59 | Head Pose: Pitch 16.91, Yaw -29.38 | Eye Gaze: Pitch 1.49, Yaw -8.4 | Dominant Emotion: Other
Attention Value: 0.59 | Head Pose: Pitch 27.7, Yaw -17.27 | Eye Gaze: Pitch 1.06, Yaw -0.24 | Dominant Emotion: Other
Attention Value: 0.59 | Head Pose: Pitch -21.89, Yaw -27.71 | Eye Gaze: Pitch -4.4, Yaw -2.06 | Dominant Emotion: Angry
Attention Value: 0.58 | Head Pose: Pitch 14.02, Yaw -23.7 | Eye Gaze: Pitch -0.34, Yaw -3.23 | Dominant Emotion: Angry
Attention Value: 0.58 | Head Pose: Pitch -15.07, Yaw -18.56 | Eye Gaze: Pitch 1.28, Yaw -5.96 | Dominant Emotion: Other
Attention Value: 0.58 | Head Pose: Pitch -26.97, Yaw -0.91 | Eye Gaze: Pitch 8.57, Yaw -1.49 | Dominant Emotion: Angry
Attention Value: 0.58 | Head Pose: Pitch 22.52, Yaw -25.2 | Eye Gaze: Pitch -2.82, Yaw 4.57 | Dominant Emotion: Other
Attention Value: 0.58 | Head Pose: Pitch 21.6, Yaw 20.45 | Eye Gaze: Pitch -7.88, Yaw 8.6 | Dominant Emotion: Happy
Attention Value: 0.58 | Head Pose: Pitch -25.36, Yaw 21.73 | Eye Gaze: Pitch -0.05, Yaw 9.15 | Dominant Emotion: Other
Attention Value: 0.58 | Head Pose: Pitch -20.88, Yaw -28.22 | Eye Gaze: Pitch -2.83, Yaw 1.92 | Dominant Emotion: Other
Attention Value: 0.58 | Head Pose: Pitch -17.25, Yaw -23.66 | Eye Gaze: Pitch -1.57, Yaw 7.81 | Dominant Emotion: Angry
Attention Value: 0.58 | Head Pose: Pitch -24.43, Yaw 22.48 | Eye Gaze: Pitch 6.8, Yaw 1.25 | Dominant Emotion: Angry
Attention Value: 0.57 | Head Pose: Pitch 27.92, Yaw 24.65 | Eye Gaze: Pitch 6.29, Yaw 6.01 | Dominant Emotion: Angry
Attention Value: 0.57 | Head Pose: Pitch -16.01, Yaw -29.02 | Eye Gaze: Pitch 5.93, Yaw -4.97 | Dominant Emotion: Angry
Attention Value: 0.57 | Head Pose: Pitch 20.73, Yaw -28.34 | Eye Gaze: Pitch 2.1, Yaw 8.24 | Dominant Emotion: Other
Attention Value: 0.57 | Head Pose: Pitch -27.75, Yaw 28.02 | Eye Gaze: Pitch 0.19, Yaw -4.38 | Dominant Emotion: Other
Attention Value: 0.56 | Head Pose: Pitch 29.29, Yaw 24.98 | Eye Gaze: Pitch 9.1, Yaw 6.01 | Dominant Emotion: Sad
Attention Value: 0.56 | Head Pose: Pitch -21.05, Yaw 20.99 | Eye Gaze: Pitch 1.09, Yaw -6.51 | Dominant Emotion: Angry
Attention Value: 0.56 | Head Pose: Pitch 27.56, Yaw -16.52 | Eye Gaze: Pitch -0.69, Yaw -4.25 | Dominant Emotion: Other
Attention Value: 0.56 | Head Pose: Pitch 24.09, Yaw 24.34 | Eye Gaze: Pitch -3.39, Yaw -6.23 | Dominant Emotion: Happy
Attention Value: 0.56 | Head Pose: Pitch -24.91, Yaw 24.37 | Eye Gaze: Pitch -9.59, Yaw -9.14 | Dominant Emotion: Other
Attention Value: 0.55 | Head Pose: Pitch 28.98, Yaw -23.28 | Eye Gaze: Pitch 5.72, Yaw -9.31 | Dominant Emotion: Other
Attention Value: 0.55 | Head Pose: Pitch 25.7, Yaw -23.51 | Eye Gaze: Pitch -8.42, Yaw -5.02 | Dominant Emotion: Angry
Attention Value: 0.55 | Head Pose: Pitch 25.61, Yaw -22.04 | Eye Gaze: Pitch -4.77, Yaw 2.7 | Dominant Emotion: Other
Attention Value: 0.54 | Head Pose: Pitch 21.7, Yaw -27.0 | Eye Gaze: Pitch 5.71, Yaw 9.32 | Dominant Emotion: Sad
Attention Value: 0.54 | Head Pose: Pitch 21.65, Yaw 22.75 | Eye Gaze: Pitch -9.13, Yaw 0.53 | Dominant Emotion: Sad
Attention Value: 0.54 | Head Pose: Pitch 27.58, Yaw -25.66 | Eye Gaze: Pitch 9.72, Yaw 7.37 | Dominant Emotion: Angry
Attention Value: 0.53 | Head Pose: Pitch 26.66, Yaw -21.45 | Eye Gaze: Pitch 1.09, Yaw 0.85 | Dominant Emotion: Angry
Attention Value: 0.53 | Head Pose: Pitch 29.47, Yaw -19.15 | Eye Gaze: Pitch -3.38, Yaw 8.16 | Dominant Emotion: Sad
Attention Value: 0.53 | Head Pose: Pitch -29.39, Yaw 18.43 | Eye Gaze: Pitch -1.69, Yaw -6.13 | Dominant Emotion: Sad
Attention Value: 0.5 | Head Pose: Pitch -29.01, Yaw -28.83 | Eye Gaze: Pitch 5.92, Yaw 0.7 | Dominant Emotion: Other
